LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME_OF_PROD,VALUE_PROD,Flag Codes
AUS,OILPROD,TOT,KTOE,A,2000,25081.157,
AUS,OILPROD,TOT,KTOE,A,2001,26611.828,
AUS,OILPROD,TOT,KTOE,A,2002,30307.711,
AUS,OILPROD,TOT,KTOE,A,2003,29403.176,
AUS,OILPROD,TOT,KTOE,A,2004,25785.035,
AUS,OILPROD,TOT,KTOE,A,2005,22928.552,
AUS,OILPROD,TOT,KTOE,A,2006,20414.553,
AUS,OILPROD,TOT,KTOE,A,2007,23214.306,
AUS,OILPROD,TOT,KTOE,A,2008,21500.836,
AUS,OILPROD,TOT,KTOE,A,2009,22170.045,
AUS,OILPROD,TOT,KTOE,A,2010,23141.817,
AUS,OILPROD,TOT,KTOE,A,2011,22232.029,
AUS,OILPROD,TOT,KTOE,A,2012,20728.672,
AUS,OILPROD,TOT,KTOE,A,2013,17979.347,
AUS,OILPROD,TOT,KTOE,A,2014,16925.631,
AUS,OILPROD,TOT,KTOE,A,2015,16159.77,
AUS,OILPROD,TOT,KTOE,A,2016,15783.669,
AUS,OILPROD,TOT,KTOE,A,2017,13563.828,
AUT,OILPROD,TOT,KTOE,A,2000,989.322,
AUT,OILPROD,TOT,KTOE,A,2001,971.446,
AUT,OILPROD,TOT,KTOE,A,2002,962.31,
AUT,OILPROD,TOT,KTOE,A,2003,932.872,
AUT,OILPROD,TOT,KTOE,A,2004,985.657,
AUT,OILPROD,TOT,KTOE,A,2005,867.906,
AUT,OILPROD,TOT,KTOE,A,2006,868.921,
AUT,OILPROD,TOT,KTOE,A,2007,865.876,
AUT,OILPROD,TOT,KTOE,A,2008,875.012,
AUT,OILPROD,TOT,KTOE,A,2009,922.721,
AUT,OILPROD,TOT,KTOE,A,2010,890.238,
AUT,OILPROD,TOT,KTOE,A,2011,850.65,
AUT,OILPROD,TOT,KTOE,A,2012,851.665,
AUT,OILPROD,TOT,KTOE,A,2013,855.725,
AUT,OILPROD,TOT,KTOE,A,2014,967.386,
AUT,OILPROD,TOT,KTOE,A,2015,866.891,
AUT,OILPROD,TOT,KTOE,A,2016,797.865,
AUT,OILPROD,TOT,KTOE,A,2017,746.095,
BEL,OILPROD,TOT,KTOE,A,2000,0,
BEL,OILPROD,TOT,KTOE,A,2001,0,
BEL,OILPROD,TOT,KTOE,A,2002,0,
BEL,OILPROD,TOT,KTOE,A,2003,0,
BEL,OILPROD,TOT,KTOE,A,2004,0,
BEL,OILPROD,TOT,KTOE,A,2005,0,
BEL,OILPROD,TOT,KTOE,A,2006,0,
BEL,OILPROD,TOT,KTOE,A,2007,0,
BEL,OILPROD,TOT,KTOE,A,2008,0,
BEL,OILPROD,TOT,KTOE,A,2009,0,
BEL,OILPROD,TOT,KTOE,A,2010,0,
BEL,OILPROD,TOT,KTOE,A,2011,0,
BEL,OILPROD,TOT,KTOE,A,2012,0,
BEL,OILPROD,TOT,KTOE,A,2013,0,
BEL,OILPROD,TOT,KTOE,A,2014,0,
BEL,OILPROD,TOT,KTOE,A,2015,0,
BEL,OILPROD,TOT,KTOE,A,2016,0,
BEL,OILPROD,TOT,KTOE,A,2017,0,
CAN,OILPROD,TOT,KTOE,A,2000,89873.513,
CAN,OILPROD,TOT,KTOE,A,2001,90223.044,
CAN,OILPROD,TOT,KTOE,A,2002,93116.387,
CAN,OILPROD,TOT,KTOE,A,2003,101441.775,
CAN,OILPROD,TOT,KTOE,A,2004,104830.799,
CAN,OILPROD,TOT,KTOE,A,2005,106808.41,
CAN,OILPROD,TOT,KTOE,A,2006,115490.484,
CAN,OILPROD,TOT,KTOE,A,2007,109452.38,
CAN,OILPROD,TOT,KTOE,A,2008,110046.175,
CAN,OILPROD,TOT,KTOE,A,2009,103680.002,
CAN,OILPROD,TOT,KTOE,A,2010,110424.323,
CAN,OILPROD,TOT,KTOE,A,2011,117003.076,
CAN,OILPROD,TOT,KTOE,A,2012,127611.66,
CAN,OILPROD,TOT,KTOE,A,2013,138333.688,
CAN,OILPROD,TOT,KTOE,A,2014,152695.136,
CAN,OILPROD,TOT,KTOE,A,2015,158024.979,
CAN,OILPROD,TOT,KTOE,A,2016,161526.424,
CAN,OILPROD,TOT,KTOE,A,2017,174226.065,
CZE,OILPROD,TOT,KTOE,A,2000,175.456,
CZE,OILPROD,TOT,KTOE,A,2001,183.288,
CZE,OILPROD,TOT,KTOE,A,2002,265.835,
CZE,OILPROD,TOT,KTOE,A,2003,317.522,
CZE,OILPROD,TOT,KTOE,A,2004,305.942,
CZE,OILPROD,TOT,KTOE,A,2005,312.94,
CZE,OILPROD,TOT,KTOE,A,2006,265.734,
CZE,OILPROD,TOT,KTOE,A,2007,247.228,
CZE,OILPROD,TOT,KTOE,A,2008,242.763,
CZE,OILPROD,TOT,KTOE,A,2009,222.7,
CZE,OILPROD,TOT,KTOE,A,2010,178.236,
CZE,OILPROD,TOT,KTOE,A,2011,167.097,
CZE,OILPROD,TOT,KTOE,A,2012,157.982,
CZE,OILPROD,TOT,KTOE,A,2013,155.96,
CZE,OILPROD,TOT,KTOE,A,2014,151.91,
CZE,OILPROD,TOT,KTOE,A,2015,129.63,
CZE,OILPROD,TOT,KTOE,A,2016,118.489,
CZE,OILPROD,TOT,KTOE,A,2017,109.375,
DNK,OILPROD,TOT,KTOE,A,2000,18260.724,
